Abbr,Indicator name
BI,Built Infrastructure
DI,Digital Infrastructure
CR,Effective Provision of Critical Services
EN,Energy
TN,Transportation
WR,Water
BS,Budget and Subsidy
BE,Business Environment
DL,Diverse Livelihood and Employment
ER,Economic Robustness
FS,Finance and Savings
HA,Households Assets
HC,Human Capital
IN,Income
IE,Innovation and Entrepreneurship
PF,Public Finance
AQ,Air Quality
DC,Decarbonization
LU,Land Use
GI,Green Infrastructure
WM,Waste management
EE,Environment and Ecology
FL,Flooding
HS,Heat Stress
QH,Access to Quality Healthcare
EM,Emergency Medical Care
HV,Minimal Human Vulnerability
PH,Public Health
ED,Education
II,Inclusivity and Involvement
IC,Institutional Collaboration
KD,Knowledge Dissemination and Management
RL,Rule of Law
DM,Disaster Management
GG,Good Governance
ID,Integrated Development Planning
CE,Community Engagement & Preparedness
CS,Comprehensive Social Security
PN,Population
SC,Social Cohesion
